SIZE,STOCK #,HOLE
1,DS1651,2 1/2 5-3/4
2,DS1652,
2,DS1653,
2,DS1654,
2,DS1655,
3,DS1656,
3,DS1657,
3,DS1658,
3,DS1659,
4,DS1661,
4,DS1662,
4,DS1663,
4,DS1664,
4,DS1665,
5,DS1665A,
5,DS1667,
5,DS1668,
6,DS1671,
