RAD IUS,DIA.,DIA..1,OAL,STOCK #
"1/16""","3/8""","7/16""",2-1/2,CREM51702
"3/32""","3/8""","1/2""",2-1/2,CREM51703
"1/8""","1/2""","5/8""",3,CREM51704
"5/32""","1/2""","3/4""",3,CREM51705
"3/16""","1/2""","7/8""",3,CREM51706
"1/4""","1/2""","1""",3,CREM51708
"5/16""","1/2""","1-1/8""",3-1/4,CREM51711
"3/8""","3/4""","1-3/8""",3-3/4,CREM51716
"7/16""","3/4""","1-1/4""",3-1/2,CREM51714
"1/2""","3/4""","1-1/2""",3-7/8,CREM51717
