COATING,DESCRIPTION,APPLICATION
TiN,"Titanium Nitride: Gold color, General Purpose coating. Provides excellent wear resistance with good lubricity.",Recommended for ferrous and non-metallic materials.
TiCN,"Titanium Carbonitride: Blue-Grey color, abrasion resistant coating.","Recommended for Silicon Aluminum, brass and bronze applications, cast iron and alloy steels."
AlTiN,"Aluminum Titanium Nitride: Blue-Black color, multi-layered high heat-resistant coating.",Recommended for semi and dry milling applications in high temperature alloys and hardened steel materials.
