QTY.,SIZES,ALFA USA STOCK #
13,"1/16” - 1/4"" by 64ths""",JDL50194
15,"1/16” - 1/2"" by 32nds""",JDL50193
21,"1/16” - 3/8"" by 64ths""",JDL50192
29,"1/16” - 1/2"" by 64ths""",JDL50190
60,#1 - #60,JDL50191
