DIA. SIZE,BRUSH WIRE SHANK GRADE,PKG,STOCK #,STOCK # BULK CLAMSHELL
"Coarse 0.008""","1/4""",10,WB67117,WB67117C
"Fine 0.020""","1/4""",10,WB67118,WB67118C
"Coarse 0.008""","1/4""",10,WB67119,WB67119C
"Fine 0.020""","1/4""",10,WB67120,WB67120C
"Coarse 0.008""","1/4""",10,WB67121,WB67121C
"Fine 0.020""","1/4""",10,WB67122,WB67122C
