Industry,Usage
Automotive,n n n n n n n
Aviation,n n n n n n n
Appliance,n n n
Furniture,n n n n n
Construction / Decking,n n n n
Public Transportation,n n n n
Electronics,n n n n
HvAC,n n
Recreation,n n
Hobby,n n
Marine,n n n n n
Security,n
Drywall,n
Subfloor,n n
Machine Tools / Metal,n n
