STOCK #,BOX,LENGTH,SIZE,QTY.,CUT,CUT.1,CUT.2
"4\"",29/64\"" x 5/64\""""",12,F65015,F65016,F65017,,,
"6\"",5/8\"" x 1/8\""""",12,F65087,F65092,F65097,,,
"8\"",3/4\"" x 7/32\""""",12,F65049DC,," """""," """"",,
"8\"",13/16\"" x 7/32\""""",12,F65088,F65093,F65098,,,
"10\"",15/16\"" x 9/32\""""",12,F65050DC,," """""," """"",,
"10\"",1\"" x 3/16\""""",12,F65089,F65094,F65099,,,
"12\"",1-1/8\"" x 11/64\""""",6,F65051DC,," """""," """"",,
"12\"",1-3/16\"" x 7/32\""""",6,F65090,F65095,F65100,,,
"14\"",1-11/32\"" x 1/4\""""",6,F65091,F65096,F65101,,,
