RIGHT HAND DIE SET,LEFT HAND DIE SET
DESCRIPTION,STOCK #
"1/4-20, 5/16-18, 3/8-16, 7/16-14, 1/2-13",TDS5LC
"1/4-28, 5/16-24, 3/8-24, 7/16-20, 1/2-20",TDS5LF
"1/4-20, 5/16-18, 3/8-16, 7/16-14, 1/2-13, 9/16-12, 5/8-11, 3/4-10",TDS8LC
"1/4-28, 5/16-24, 3/8-24, 7/16-20, 1/2-20, 9/16-18, 5/8-18, 3/4-16",TDS8LF
"1/4-20, 5/16-18, 3/8-16, 7/16-14, 1/2-13, 9/16-12, 5/8-11, 3/4-10, 7/8-9, 1-8",TDS10LC B
"1/4-28, 5/16-24, 3/8-24, 7/16-20, 1/2-20, 9/16-18, 5/8-18, 3/4-16, 7/8-14, 1-12",TDS10LF
"1/4-20, 1/4-28, 5/16-18, 5/16-24, 3/8-16, 3/8-24, 7/16-14, 7/16-20, 1/2-13, 1/2-20, 9/16-12, 9/16-18, 5/8-11, 5/8-18, 3/4-10, 3/4-16, 7/8-9, 7/8-14, 1-8, 1-12",TDSL20
