SIZE,CAPACITY,STOCK #,MOUNT,KEY #,SIZE.1,MIN.,MAX.,JACOBS,LFA
3/64,0 .040,3/8,0.375,2JT K32,JC30215,LFA82556,,,
3/64,0 .040,1/2,0.500,3JT K3,JC30221,LFA83638,,,
1/8,0 .125,5/8,0.625,3JT K4 / K34,JC30227,LFA84556,,,
1/8,0 .125,3/4,0.750,4JT K4,JC30233,LFA85977,,,
—,—,—,—,—,JC30239,LFA85960,,,
3/8,0 .375,1,1.000,5JT / 4JT3 K5 / K45,JC30239,LFA85960,,,
