THREAD SIZE,STOCK #
"1/4"" - 20",RTT70761
"1/4"" - 28",RTT70762
"5/16"" - 18",RTT70763
"5/16"" - 24",RTT70764
"3/8"" - 16",RTT70765
"7/16"" - 20",RTT70768
"1/2"" - 13",RTT70769
"1/2"" - 20",RTT70770
"9/16"" - 12",RTT70771
"9/16"" - 18",RTT70772
