DIA.,DIA..1,LENGTH,LENGTH.1,STOCK #,STOCK #.1
1/32,3/16,3/64,2,DE50753S,1/16
1/16,3/16,3/32,2,DE50754S,5/64
5/64,3/16,1/8,2,DE50755S,3/32
3/32,3/16,9/64,2,DE50756S,7/64
7/64,3/16,5/32,2,DE50757S,1/8
1/8,3/16,3/16,2,DE50758S,9/64
9/64,3/16,7/32,2,DE50759S,5/32
5/32,3/16,15/64,2,DE50760S,11/64
11/64,3/16,1/4,2,DE50761S,3/16
3/16,3/16,9/32,2,DE50762S,
