SIZE,MOUNT,CAPACITY,Shank,KEY #,STOCK #
"1/4""","1/4"" - 20",KG1,JC30248,"1/4"" Hex",HSA51070
"1/4""","3/8"" – ",HSA51070,JC30248,"1/4"" Hex",HSA51070
