DESCRIPTION,STOCK #,Qty.,Size,Stock #
MASONRY DRILL BIT WALL DISPLAY,WMDF18,3,"1/4"" x 6""",MDF60507C
 , ,3,"5/16"" x 6""",MDF60508C
 , ,3,"3/8"" x 6""",MDF60509C
 , ,3,"1/2"" x 6""",MDF60511C
 , ,3,"5/8"" x 6""",MDF60514C
 , ,3,"3/4"" x 6""",MDF60516C
