Size,Length,Overall Length,Part Number,Part Number with Hanger
"1/4""","3""","6-5/8""",SCD150,SCD150H
"1/4""","4""","8""",SCD151,SCD151H
"1/4""","4""","8""",SCD152,SCD152H
"1/4""","4""","8""",SCD153,SCD153H
"1/4""","4""","8""",SCD154,SCD154H
"1/4""","4""","8""",SCD155,SCD155H
