SIZE,CAPACITY,STOCK #,MOUNT,SIZE.1,MIN.,MAX.,JACOBS,LFA
3/64,0 .040,3/8,0.375,3/8-24,JC30354,LFA52043,,
1/16,0 .062,1/2,0.5,1/2-20,JC31038,LFA52252,,
1/16,0 .062,1/2,0.5,3/8-24,JC31037,LFA52269,,
