DIA.,THICK NESS,DEPTH,OA L THRE AD,SUPREME,DRILL STOCK #
"1/2"" ,.375"" ,14"" ,16"" ,5/8"" - 11 ,CDS1700",,,,,
"5/8"" ,.375"" ,14"" ,16"" ,5/8"" - 11 ,CDS1701",,,,,
"3/4"" ,.375"" ,14"" ,16"" ,5/8"" - 11 ,CDS1702",,,,,
"7/8"" ,.375"" ,14"" ,16"" ,5/8"" - 11 ,CDS1703",,,,,
