DIA. MM,SHANK MM,FL OAL MM,RIGHT HAND,LEFT HAND
24,27,57.5,TB74421R,TB74421L
24,27,57.5,TB74422R,TB74422L
24,27,57.5,TB74423R,TB74423L
24,27,57.5,TB74424R,TB74424L
24,35,70.0,TB74425R,TB74425L
24,35,70.0,TB74426R,TB74426L
24,35,70.0,TB74427R,TB74427L
24,35,70.0,TB74428R,TB74428L
24,44,77.0,TB74429R,TB74429L
24,44,77.0,TB74430R,TB74430L
