POwER SHANK TYPE,NUT SETTERS,STOCK #,QTy.
MAGNETIC,"1/4"" x 2-9/16""",HSN15934,50
MAGNETIC,"5/16"" x 2-9/16""",HSN15935,50
MAGNETIC,"3/8"" x 2-9/16""",HSN15936,50
