STOCK #,SIZE,DIA.,LENGTH,POUCHED
DLB62301,4,4,43,75
DLB62302,5,5,52,86
DLB62303,6,6,57,93
DLB62304,7,7,69,109
DLB62305,8,8,75,117
DLB62306,9,9,80,120
DLB62307,10,10,87,133
DLB62308,11,8,89,142
DLB62309,12,8,96,151
DLB62310,13,8,96,151
DLB62311,14,10,96,151
DLB62312,15,10,100,160
DLB62313,16,10,100,160
DLB62314,17,10,108,170
DLB62315,18,10,130,180
DLB62316,20,10,135,200
