DIA.,DIA..1,LENGTH,LENGTH.1,STOCK #,STOCK #.1
1/16,3/16,7/32,2-1/2,DE50754L,5/64
5/64,3/16,1/4,2-1/2,DE50755L,3/32
3/32,3/16,9/32,2-5/8,DE50756L,7/64
7/64,3/16,9/32,2-5/8,DE50757L,1/8
1/8,3/16,3/4,3-1/8,DE50758L,9/64
9/64,3/16,3/4,3-1/8,DE50759L,5/32
5/32,3/16,7/8,3-1/4,DE50760L,11/64
11/64,3/16,7/8,3-1/4,DE50761L,3/16
3/16,3/16,1,3-3/8,DE50762L,
