DESCRIPTION,WEIGHT,STOCK #
"29 Pc. Plastic Mug 1/16"" - 1/2"" by 64ths",.25 lbs .,DIH29DM
"29 Pc. Plastic Drill Index 1/16"" - 1/2"" by 64ths",.25 lbs .,DIHDF13000
