STOCK #,POINT,SIZE,OAL,PACK,QTy. IN HANG-UP BOX
HSB15873,# # 2,"1-13/16\"",25""",HSB15873C,,
HSB15920,#1-2,"1\"",25""",HSB15920C,,
HSB15879,#2,"4\"",10""",—,,
HSB15921,#2-3,"1\"",25""",HSB15921C,,
HSB15882,#2,"5\"",10""",—,,
HSB15922,#3-4,"1\"",25""",HSB15922C,,
HSB15885,#2,"6\"",10""",—,,
HSB15874,#3,"1-15/16\"",25""",HSB15874C,,
HSB15877,#3,"3\"",10""",—,,
HSB15880,#3,"4\"",10""",—,,
HSB15883,#3,"5\"",10""",—,,
HSB15886,#3,"6\"",10""",—,,
