 SIZE, DECIMAL EQUIV., FLUTE LENGTH, OVERALL LENGTH, ALFA USA STOCK #
27/64,0.4219, 2-7/8, 4-7/16, BBML74224R
7/16,0.4375, 2-15/16, 4-1/2, BBML74225R
29/64,0.4531,3, 4-5/8, BBML74226R
15/32,0.4688, 3-1/8, 4-3/4, BBML74227R
31/64,0.4844, 3-1/4, 4-7/8, BBML74228R
1/2,0.5, 3-3/8,5, BBML74229R
