ADAPTOR CUTTER,OAL,SHANK,SHANK.1,STOCK #
1/2'' 3/4'' 2-1/8'',1/2'',3/4'',RCA07,
3/4'' 3/4'' 2'',3/4'',3/4'',RCA08,
3/4'' 3/4'' 3'',3/4'',3/4'',RCA09,
3/4'' 3/4'' 12'',3/4'',3/4'',RCA10,
