HEX SHANK STOCK #,SHANK SIZE,DESCRIPTION
HSA51070,"3/8"" Hex","Converts a 3/8"" power tool for 1/4"" hex shank tools."
HSA51071,"1/4"" Hex",For the hobbyist.
HSA51072,"3/8"" Hex",Slim chuck to reach narrow areas.
HSA51073,"3/8"" Hex","For 3/8"" hex shank tools."
HSA51074,"7/16"" Hex","For 7/16"" hex shank tools."
