COATING / DESCRIPTION,STOCK #,FINISH
Bright finish,DTH66120,HIGH-SPEED STEEL
Black Oxide,HSD51051,HIGH-SPEED STEEL
Black & Gold,HSD51051,HIGH-SPEED STEEL
