DESCRIPTION,STOCK #
GENERAL PURPOSE 118º POINT,GDCF300
,GDCF300B
HEAVY DUTY 135º SPLIT POINT,GDCSF300
,GDCSFLF300
BLITZ BITS PREMIUM HEAVY DUTY,GDCBBF300
TiN COATED,GDCSF300TN
COBALT,GDCCOF300
DISPLAY ONLY (WITHOUT DRILLS),DIHGDCF
