SIZE,DECIMAL EQUIV.,FLUTE LENGTH,OVERALL LENGTH,STOCK #
A,0.234,2-5/8,6,AE60685
B,0.238,2-3/4,6,AE60686
C,0.242,2-3/4,6,AE60687
D,0.246,2-3/4,6,AE60688
E,0.25,2-3/4,6,AE60689
F,0.257,2-7/8,6,AE60690
