END MILL TYPES,END MILL MATERIALS
Finishing end mills,High-speed steel (HSS)
Square end mills,Cobalt-M42 (8% cobalt HSS)
Ball end mills,Powder metal (PM) cobalt
Taper body mills,Solid carbide (micrograin)
Roughing end mills,Carbide tipped (Coarse tooth & fine tooth)
