STOCK #,POINT,SIZE,OAL,PACK,QTy. IN HANG-UP BOX
HSB16025,#4 - 5,"1-1/2\"",25""",HSB16025C,,
HSB16026,#6 - 8,"1-1/2\"",25""",HSB16026C,,
HSB16027,#8 - 10,"1-1/2\"",25""",HSB16027C,,
HSB11602,#1,"1-15/16\"",25""",HSB16028C,,
HSB15872,#1,"1-15/16\"",25""",HSB15872C,,
HSB15875,#1,"3\"",10""",—,,
HSB15878,#1,"4\"",10""",—,,
