Size,Decimal Equiv.,Flute Length,Overall Length,Stock #
1/8,0.125,9,12,LB60251
5/32,0.1562,9,12,LB60253
3/16,0.1875,9,12,LB60255
7/32,0.2188,9,12,LB60257
1/4,0.25,9,12,LB60259
9/32,0.2812,9,12,LB60261
5/16,0.3125,9,12,LB60263
11/32,0.3438,9,12,LB60265
3/8,0.375,9,12,LB60267
13/32,0.4062,9,12,LB60269
7/16,0.4375,9,12,LB60271
15/32,0.4688,9,12,LB60273
1/2,0.5,9,12,LB60275
*9/16,0.5625,9,12,LB60277
*5/8,0.625,9,12,LB60279
