DESCRIPTION,SHANK DIA.
"3/8"" Flush Trim",
"3/8"" Roundover",
"1/2"" Flush Trim",
"5/32"" Roman Ogee",
"1/2"" Cove",
"1/4"" x 3/4"" Straight",
90O V-Groove,
"1/2"" x 3/4"" Straight",
45O Chamfer,
"3/4"" x 3/4"" Straight",
"3/8"" Rabbet",
"1/2"" x 3/4"" Pattern",
"1/2"" Rabbet",
"1/2"" Core",
"1/2"" 14O Dovetail",
