Size,Length,Overall Length,Part Number,Part Number with Hanger
"3/16""","3""","6-1/8""",SCD142,SCD142H
"3/16""","3""","6-1/8""",SCD143,SCD143H
"3/16""","3""","6-1/8""",SCD144,SCD144H
"3/16""","3""","6-1/8""",SCD145,SCD145H
"1/4""","4""","7-1/2""",SCD146,SCD146H
"1/4""","4""","7-1/2""",SCD147,SCD147H
