DESCRIPTION,SHANK DIA.,STOCK #
4 PC. ROUNDOVER ROUTER BIT SET,"1/4""",RB75165
4 PC. ROUNDOVER ROUTER BIT SET,"1/2""",RB75166
5 PC. EDGE FORMING ROUTER BIT SET,"1/4""",RB75164
15 PC. MULTI-PURPOSE ROUTER BIT SET,"1/4""",RB75163
