Screw Extractor Size #," ""Left Hand Drill Size"""," ""Stock #"""," ""No. of Pieces"""
#1," ""5/64\"""""," ""SE61741C"""," ""1"""
#2," """""," """""," """""
#3," """""," """""," """""
#4," ""1/4\"""""," ""SE61744C"""," ""1"""
#5," ""19/64\"""""," ""SE61745C"""," ""1"""
#6," ""13/32\"""""," ""SE61746C"""," ""1"""
