BLADE NO.,OF TEETH,ARBOUR SIZE,MAX RPM,STOCK #
SB69912,48,20mm,5800.0,
SB69901,60,"1\"",3200""",,
SB69902,90,"1\"",1800""",,
SB69903,66,"1\"",1800""",,
SB69910,40,20mm,5800.0,
SB69911,42,"5/8\"",5800""",,
SB69912,48,"1\"",3200""",,
SB69913,66,"1\"",1800""",,
