SIZE, DECIMAL EQUIV.,FLUTE LENGTH, OVERALL LENGTH, ALFA USA STOCK #
5/16,0.3125, 2-1/2, 3-13/16, RS51835
3/8,0.375, 2-7/8, 4-1/4, RS51836
7/16,0.4375, 3-3/8, 4-11/16, RS51837
1/2,0.5, 3-5/8, 5-1/16, RS51838
