TYPE,DIMENSIONS,STOCK #,TYPE.1,OAL,WIDTH,TRIM,LENGTH,STOCK #.1
Horsehair Brush Brass,7-1/4,WB67210,Horsehair Brush,"6-1/8""","7/16""",7/16,WB67210,
Horsehair Brush Stainless Steel,7-1/4,WB67212,Horsehair Brush,"6-1/8""","9/16""",7/16,WB67212,
