POINT PA,C,K,S,TOCK,#,OAL,OAL.1,SIZ,E,QT,y.,BULK,SIZ.1,E.1,QT.1,y..1,BULK.1
#1,"1-3/16""",HSB17002,#1,"1-3/16""",HSB17015,10.0,10.0,,,,,,,,,,
#1,"1-15/16""",HSB17003,#1,"1-15/16""",HSB17016,,,,,,,,,,,,
#2,"1-3/16""",HSB17004,#2,"1-3/16""",HSB17017,10.0,10.0,,,,,,,,,,
#2,"1-15/16""",HSB17005,#2,"1-15/16""",HSB17018,,,,,,,,,,,,
#3,"1-3/16""",HSB17006,#3,"1-3/16""",HSB17019,10.0,10.0,,,,,,,,,,
#3,"1-15/16""",HSB17007,#3,"1-15/16""",HSB17020,,,,,,,,,,,,
