POINT SIZE,MINIMUM,MAXIMUM,SLOTTED,SQUARE RECESS,TAPPING WOOD MACHINE
0,-,-,"3, 4","3, 4","3, 4"
1,0.019,0.026,"5, 6, 7","5, 6, 7","5, 6"
2,0.023,0.031,"8, 10","8, 9, 10","8, 10"
3,0.027,0.035,"12, 14","12, 14","12, 14"
4,0.031,0.039,-,-,-
6,0.035,0.043,-,-,-
8,0.039,0.048,-,-,-
10,0.045,0.054,-,-,-
12,0.056,0.067,-,-,-
