DESCRIPTION,WEIGHT,STOCK #,Machine Screw Sizes
FOR MACHINE SCREW SIZES,13 lbs,DIHTMS13550,2-56 to 12-28
FOR FRACTIONAL SIZES,10.5 lbs,DIHTMF13500,"1/4""-20 to 1-14"
FOR METRIC SIZES,10.5 lbs,DIHTM13575,3mm - 24mm
