DIA.,DIA..1,LENGTH,LENGTH.1,STOCK #,STOCK #.1
1/32,3/16,3/32,2-1/4,DE50753,1/16
1/16,3/16,7/32,2-1/4,DE50754,5/64
5/64,3/16,1/4,2-1/4,DE50755,3/32
3/32,3/16,5/16,2-1/4,DE50756,7/64
7/64,3/16,11/32,2-1/4,DE50757,1/8
1/8,3/16,3/8,2-1/4,DE50758,9/64
9/64,3/16,13/32,2-1/4,DE50759,5/32
5/32,3/16,7/16,2-1/4,DE50760,11/64
11/64,3/16,15/32,2-1/4,DE50761,3/16
3/16,3/16,1/2,2-1/4,DE50762,
