HOLE SIZE DIA. (MM),BARREL SHANK OVERALL I.D. (MM),DIA. (MM),LENGTH,STOCK #
8,10,5,FB61490,
8,10,9-3/4,FB61491,
10,10,5-1/8,FB61492,
10,10,9-7/8,FB61493,
13,13,5-1/8,FB61494,
13,13,9-7/8,FB61495,
