Size,Length,Thickness,Stock #
1/16,27,25/32,CSRTD70740A
1/8,27,25/32,CSRTD70740
1/4,18,1-1/16,CSRTD70741
3/8,18,1-1/4,CSRTD70742
1/2,14,1-7/16,CSRTD70743
3/4,14,1-13/16,CSRTD70744
1,11-1/2,2-3/16,CSRTD70745
1-1/4,11-1/2,2-9/16,CSRTD70746
1-1/2,11-1/2,3-1/8,CSRTD70747
2,11-1/2,4-1/2,CSRTD70748
