DIA.,DIA..1,LENGTH,FLTS,LENGTH.1,ALFA USA
1/4,3/8,3/4,4,2-9/16,SEB150730
5/16,3/8,1,4,2-3/4,SEB150730A
3/8,3/8,1,4,2-3/4,SEB150731
1/2,1/2,1-1/2,4,3-1/2,SEB150732
5/8,5/8,1-3/4,4,3-7/8,SEB150733
3/4,3/4,1-1/2,4,3-3/4,SEB150734
1,1,2,4,4-1/2,SEB150735
