ANGLE,DIA.,WIDTH,DIA..1,OAL,STOCK #
60O,1/2,1/4,3/8,2-1/8,DTC51731
45O,1/2,5/32,3/8,2-1/8,DTC51732
60O,3/4,5/16,3/8,2-1/8,DTC51733
45O,3/4,1/4,3/8,2-1/8,DTC51734
60O,1-3/8,9/16,5/8,2-7/8,DTC51735
45O,1-3/8,7/16,5/8,2-7/8,DTC51736
60O,1-7/8,13/16,7/8,3-1/4,DTC51737
45O,1-7/8,5/8,7/8,3-1/4,DTC51738
60O,2-1/4,1-1/16,1,3-3/4,DTC51739
45O,2-1/4,5/8,1,3-3/4,DTC51740
