SIZES,STOCK #,NO. OF BLADES,TPI RANGE
"Fractional Sizes 1/16"" to 1/2"" by 64ths",DG63051,51.0,4 - 84
"Fractional Sizes 1/2"" to 1"" by 64ths",DG63056,,
Number Sizes #1 - #60,DG63052,28.0,4 - 80
Number Sizes #61 - #80,DG63053,22.0,9 - 40
Letter Sizes A - Z,DG63054,28.0,0.25 - 2.50 mm
Metric Sizes 1mm - 13mm x 0 .5mm,DG63055,,
