MORSE CUTTER,OAL,TAPER,SHANK,STOCK #
2 3/4'' 2'',2,2 3/4'',RCA02,
2 3/4'' 6'',2,2 3/4'',RCA06,
3 3/4'' 2'',3,3 3/4'',RCB02,
3 3/4'' 6'',3,3 3/4'',RCB06,
3 3/4'' 12'',3,3 3/4'',RCB12,
