DESCR IPTION,RED,BLUE,BLACK,GREEN,ORANGE
#1 Phillips x #2 Phillips,#1 Phillips x #2 Phillips,,,,
3/16 Slotted x 9/32 Slotted,,,,,
1/4 Hex Nut Driver,5/16 Hex Nut Driver,,,,
