BLADE,LENGTH x WIDTH x THICKNESS,STOCK #,CONFIGURATION,INCHES,MM,APPLICATION,TUBED
6 x 3/4 x .039,150 x 20 x 1,RSC63418,"1/2"" UNIVERSAL SHANK Long Life",5 / TUBE,Stainless Steel,,
