Size x OAL,Apex®,Alfa Tools
"1/4 Shank x 2-5/8""""",M-490,HSB66695
"1/4 Shank x 4""""",M-490-4,HSB66697A
"1/4 Shank x 6""""",M-490-6,HSB66698
"5/16 Shank x 3-1/16""""",M-638,HSB66702
"1/4 Shank x 3-1/2""""",M-498,HSB66700
