STOCK #,HEAD SIZE,STOCK #.1,SHAPE D,H,IA,E,.,A,x,D,LE,S,N,I,G,ZE,TH SINGLE,DOUBLE,DOUBLE CUT,CUT CUT TiN COATED,LENGTH,CUT CUT TiN COATED.1
SL-1,1/4 x 5/8,B71281,B71281D,B71281DTN,SM-1,1/4 x 1/2,22O,B71233,B71233D,B71233DTN,,,,,,,,,,,,
SL-2,5/16 x 7/8,B71282,B71282D,B71282DTN,SM-2,1/4 x 3/4,14O,B71234,B71234D,B71234DTN,,,,,,,,,,,,
SL-3,3/8 x 1-1/16,B71283,B71283D,B71283DTN,SM-3,1/4 x 1,10O,B71235,B71235D,B71235DTN,,,,,,,,,,,,
SL-4,1/2 x 1-1/8,B71284,B71284D,B71284DTN,SM-4,3/8 x 5/8,28O,B71236,B71236D,B71236DTN,,,,,,,,,,,,
SL-5,5/8 x 1-3/16,B71287A,B71287AD,B71287ADTN,SM-5,1/2 x 7/8,28O,B71237,B71237D,B71237DTN,,,,,,,,,,,,
SL-6,5/8 x 1-5/16,B71285,B71285D,B71285DTN,SM-6,5/8 x 1,31O,B71238,B71238D,B71238DTN,,,,,,,,,,,,
SL-7,3/4 x 1-1/2,B71286,B71286D,B71286DTN,,,,,,,,,,,,,,,,,,
