Size,Decimal Equiv.,Flute Length,Overall Length,Stock #
1/4,0.25,13,18,LB60909
9/32,0.2812,13,18,LB60911
5/16,0.3125,13,18,LB60913
11/32,0.3438,13,18,LB60915
3/8,0.375,13,18,LB60917
13/32,0.4062,13,18,LB60919
7/16,0.4375,13,18,LB60921
15/32,0.4688,13,18,LB60923
1/2,0.5,13,18,LB60925
*9/16,0.5625,13,18,LB60927
*5/8,0.625,13,18,LB60929
