LENGTH x WIDTH x THICKNESS,STOCK #,APPLICATION
9 x 3/4 x .039,RDG912,"Cutting Fiberglass, Lath, Plaster, Ceramics, Soil Pipe, Laminates, Marble and Hardened Steel"
