Size,Length,Overall Length,Part Number,Part Number with Hanger
"3/16""","3""","6-1/8""",SCD160,SCD160H
"3/16""","3""","6-1/8""",SCD161,SCD161H
"3/16""","3""","6-1/8""",SCD162,SCD162H
"3/16""","3""","6-1/8""",SCD163,SCD163H
"1/4""","4""","7-1/2""",SCD164,SCD164H
"1/4""","4""","7-1/2""",SCD165,SCD165H
