THREAD SIZE,STOCK #
4-40,TI66314
6-32,TI66315
8-32,TI66316
10-24,TI66317
1/4- 20,TI66318
5/16- 18,TI66319
3/8- 16,TI66320
7/16- 14,TI66321
1/2- 13,TI66322
M6-1,TI66318
M8-1.25,TI66328
M10-1.5,TI66320
M10-1,TI66329
M12-1.75,TI66322
M12-1.5,TI66322
1/8- 27,TI66329
1/4- 18,TI66331
3/8- 18,TI66323
1/2- 14,TI66325
3/4- 14,TI66333
1- 11-1/2,TI66334
