LENGTH x WIDTH x THICKNESS,VARIABLE PITCH,STOCK #,INCHES,MM,TPI,3 / BOX
44-7/8 x 1/2 x .020,10/14,BS1014,1140 x 12,0.7,0.5,10
44-7/8 x 1/2 x .020,14/18,BS1418,1140 x 12,0.7,0.5,14
44-7/8 x 1/2 x .020,20/24,BS2024,1140 x 12,0.7,0.5,20
