WIRE ARBOR TRIM MAX. PKG /,DIA.,STOCK #,SIZE,HOLE,LENGTH,RPM,BOX
"2-3/8""","0.012""","5/8""-11","3/4""",15000,1,WB67180G,
"2-3/8""","0.020""","5/8""-11","3/4""",15000,1,WB67180SS,
"2-3/8""","0.020""","5/8""-11","3/4""",15000,1,WB67181,
"3-1/4""","0.020""","5/8""-11","1""",8500,1,WB67184SS,
"4""","0.020""","5/8""-11","1-3/16""",8500,1,WB67182,
"5""","0.020""","5/8""-11","1-9/16""",6000,1,WB67183,
"6""","0.020""","5/8""-11","1-3/8""",6000,1,WB67184,
