CONTENTS,ITEM,QTy.,STOCK #
SELECT-A-BIT,"PSD2-1 x 1"" Phillips - Sq. Driv",500,CJ8060
SELECT-A-BIT,"P2R2-1 x 1"" P2-R2 Combo",500,CJ8061
SELECT-A-BIT,"PSD2-2 x 1-15/16"" Phillips - Sq. Driv",250,CJ8063
SELECT-A-BIT,"PSD2-3 x 3-1/2"" Phillips - Sq. Driv",125,CJ8064
SELECT-A-BIT,"P2R2-2 x 1-1/2"" P2-R2 Combo",250,CJ8065
SELECT-A-BIT,"P2R2-3 x 2"" P2-R2 Combo",250,CJ8066
