COATING / POINT,BRAND,STOCK #,FINISH ANGLE
Black Oxide,HSS BLITZ BITS,HSD51081,135O Split Pt .
Black & Gold,Alfa USA,BBML74294,135O Split Pt .
Black & Gold,Alfa USA,BBML74293,135O Split Pt .
Black & Gold,Alfa USA,BBML74292,135O Split Pt .
Black & Gold,Alfa USA,BBML74290,135O Split Pt .
Black Oxide,Monolock,HSD51083,135O Split Pt .
