SIZE,OVERALL,SIZE.1,OVERALL.1
RANGE,STOCK #,DIA.,LENGTH
E,23/32 to 25/32,7,HR54623
F,25/32 to 27/32,7-3/8,HR54625
G,27/32 to 15/16,8,HR54627
H,15/16 to 1-1/16,9,HR54629
I,1-1/16 to 1-3/16,10,HR54631
J,1-3/16 to 1-11/32,11,HR54633
K,1-11/32 to 1-1/2,12,HR54635
L,1-1/2 to 1-13/16,14,HR54637
M,1-13/16 to 2-7/32,16,HR54639
N,2-7/32 to 2-3/4,18,HR54641
O,2-3/4 to 3-11/32,18,HR54643
