TIP,SIZE,BLADE SIZE,BLADE LENGTH,OA L,STOCK #,STOCK # w/HANGER
3/16,3/16,3,6-1/8,SCD120,SCD120H,
1/4,1/4,4,7-1/2,SCD121,SCD121H,
E,1/4,1/4,6,9-1/2,SCD122,SCD122H
5/16,5/16,6,10,SCD123,SCD123H,
3/8,3/8,6,10,SCD123A,SCD123AH,
3/8,3/8,8,12-3/8,SCD124,SCD124H,
3/8,3/8,10,14-3/8,SCD125,SCD125H,
1/4,1/4,1-1/2,3-1/4,SCD127,SCD127H,
