DESCRIPTION,PACK,STOCK #
"Spline Shank 8-1/2"" Long",1,HDCD62094
"Spline Shank 17-1/4"" Long",1,HDCD62095
"SDS-Max Shank 7"" Long",1,HDCD62097
"SDS-Max Shank 18"" Long",1,HDCD62098
Threaded Centering Bit For Core Bits,1,HDCA73059
"Centering Bit For Core Bits 3/8"" x 6"" Length",1,HDA62059
Drift Pin 5 x 25 mm,1,HDCD62083
