STYLE,RIGHT HAND,SIZE,TIP,STOCK #,ANSI #,SQ x H x LENGTH,WIDTH,C2,C5
,RIGHT HAND,CTR11,"1/8""",TBCTR11C2,TBCTR11C5,"1/2"" x 1"" x 5"", """,,,
,RIGHT HAND,CTR22,"3/16""",TBCTR22C2,TBCTR22C5,"1/2"" x 1"" x 5"", """,,,
,RIGHT HAND,CTR33,"1/4""",TBCTR33C2,TBCTR33C5,"1/2"" x 1"" x 5"", """,,,
,LEFT HAND,CTL11,"1/8""",TBCTL11C2,TBCTL11C5,"1/2"" x 1"" x 5"", """,,,
,LEFT HAND,CTL22,"3/16""",TBCTL22C2,TBCTL22C5,"1/2"" x 1"" x 5"", """,,,
,LEFT HAND,CTL33,"1/4""",TBCTL33C2,TBCTL33C5,"1/2"" x 1"" x 5"", """,,,
